Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,ISP,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Small_Open,
"R1, R2",0402,2,5k1,
R3,0402,1,10k,
SW1,SW_SPST_PTS647_Sx38,1,USER,
SW2,SW_SPST_PTS647_Sx38,1,RESET,
TP1,TestPoint_Pad_D1.5mm,1,SIG,
TP2,TestPoint_Pad_D1.5mm,1,+5V,
TP3,TestPoint_Pad_D1.5mm,1,GND,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,ATtiny85-10SU,
